,name,id,gender,birthday,deathday,hometown,location,nationality,sortable_name,slug,problem
1185,Johan Barthold Jongkind,4f0648328501fa10ca0001dd,male,1819,1891,"Lattrop, Netherlands","Saint-Égrève, France",Dutch,Jongkind Johan Barthold,johan-barthold-jongkind,
1186,Baldassare Franceschini,515bbc64cd4b8ed0b90019e9,male,1611,1689,no-info,no-info,no-info,Franceschini Baldassare,baldassare-franceschini,
1187,Jan Miel,515cd9fb7b7057eb4c000d4f,no-info,1599,1663,no-info,no-info,no-info,Miel Jan,jan-miel,
1188,Rembrandt van Rijn and William Baillie,515b112405635113a5000979,no-info,no-info,no-info,no-info,no-info,no-info,Rembrandt van Rijn and William Baillie,rembrandt-van-rijn-and-william-baillie,
1189,Francisco de Goya,4d8b92b44eb68a1b2c0003fe,male,1746,1828,"Fuendetodos, Spain","Madrid, Spain",Spanish,Goya Francisco de,francisco-de-goya,
1190,Pierre Thomas Le Clerc,515b144438ad2d78ca0007fd,no-info,no-info,no-info,no-info,no-info,no-info,Pierre Thomas Le Clerc,pierre-thomas-le-clerc,
1191,John Sell Cotman,515b0e2438ad2d78ca0004b5,male,1782,1842,"Norwich, USA",no-info,no-info,John Sell Cotman,john-sell-cotman,
1192,Hubert Robert,4f0648328501fa10ca00030b,male,1733,1808,"Paris, France","Paris, France",French,Robert Hubert,hubert-robert,
1193,Giambattista Tiepolo,503bdf81c61f2c00020000b2,male,1696,1770,"Venice, Italy","Madrid, Spain",Italian,Giambattista Tiepolo,giambattista-tiepolo-1,
1194,François Boucher,4f0b521c939bf200010004c1,male,1703,1770 ,"Paris, France","Paris, France",French,Boucher François,francois-boucher,
1195,Circle of Urs Graf I,515ba6fa94714c1d2e000d43,no-info,no-info,no-info,no-info,no-info,no-info,Circle of Urs Graf I,circle-of-urs-graf-i,
1196,Michel Corneille,515b8cc4cd4b8ed0b9000670,male,1642,1708,no-info,no-info,French,Corneille Michel,michel-corneille,
1197,Jean-Louis Forain,5159f18d00b0bafa930002c4,male,1852,1931,"Reims, France",no-info,French,Forain Jean-Louis,jean-louis-forain,
1198,John Varley,515b144238ad2dfc7700088f,male,1778,1842,"Hackney, UK",no-info,British,Varley John,john-varley,
1199,Giovanni Bellini,4f0648318501fa10ca00003e,male,1430,1516,"Venice, Italy","Venice, Italy",Italian,Bellini Giovanni,giovanni-bellini,
1200,Edgar Degas,4dadd2177129f05924000c68,male,1834,1917,"Paris, France","Paris, France",French,Degas Edgar,edgar-degas,
1201,Sir Frederick William Burton,515cd3637b70570a13000a10,no-info,no-info,no-info,no-info,no-info,no-info,Sir Frederick William Burton,sir-frederick-william-burton,
1202,Maxime Dethomas,5159f192a1394778be000061,male,1867,1929,no-info,no-info,no-info,Dethomas Maxime,maxime-dethomas,
1203,Alexandre Calame,515b1440223afa7c7400042b,male,1810,1864,"Vevey, Switzerland","Menton, France",Swiss,Calame Alexandre,alexandre-calame,
1204,Théo van Rysselberghe,4ee68fcc6b17cf0001002530,male,1862,1926,"Ghent, Belgium",,Belgian,Rysselberghe Théo van,theo-van-rysselberghe,
1205,Aleksandr Osipovich Orlovskii,515b1dff223afae9a5000d1d,no-info,no-info,no-info,no-info,no-info,no-info,Aleksandr Osipovich Orlovskii,aleksandr-osipovich-orlovskii,
1206,Reinier Vinkeles,5159f18e00b0ba91330000bb,no-info,1741,1816,no-info,no-info,no-info,Vinkeles Reinier,reinier-vinkeles,
1207,Max Liebermann,4f0648328501fa10ca00022f,male,1847,1935,"Berlin, Germany","Berlin, Germany",German,Liebermann Max,max-liebermann,
1208,Giovanni Benedetto Castiglione,515b7415cd4b8ef7fd00061d,male,1609,1664,"Genoa, Italy","Mantua, Italy",Italian,Castiglione Giovanni Benedetto,giovanni-benedetto-castiglione,
1209,Aegidius Sadeler II,515b1ac49562c8fee2000c64,male,1570,1629,"Antwerp, Belgium","Prague, Czech Republic",Flemish,Aegidius Sadeler II,aegidius-sadeler-ii,
1210,Louis Gustave Taraval,515b450f056351dc330024b1,no-info,no-info,no-info,no-info,no-info,no-info,Louis Gustave Taraval,louis-gustave-taraval,
1211,Filippo Juvarra,515b7416cd4b8ed0b9000086,male,1678,1736,no-info,no-info,no-info,Juvarra Filippo,filippo-juvarra,
1212,Conrad Metz,515b96f0ea092f003c00042b,no-info,no-info,no-info,no-info,no-info,no-info,Metz Conrad,conrad-metz,
1213,Jean-Honoré Fragonard,4eaf1199ec5cf6000100e41b,male,1732,1806,"Grasse, France","Paris, France",French,Fragonard Jean-Honoré,jean-honore-fragonard,
1214,Johann George Böhm,515cd9fc769659e1fb000d03,no-info,no-info,no-info,no-info,no-info,no-info,Johann George Böhm,johann-george-bohm,
1215,Ernst Ludwig Kirchner,4edfe1f10f64f500010000bc,male,1880,1938,"Aschaffenburg, Germany","Dresden, Germany",German,Kirchner Ernst Ludwig,ernst-ludwig-kirchner,
1216,Charles Parrocel,50eafb721f4a9ee55d00015c,male,1688,1752,"Paris, France","Paris, France",French,Parrocel Charles,charles-parrocel,
1217,Mark Catesby,5159f19400b0bafa93000303,male,1683,1749,no-info,no-info,no-info,Catesby Mark,mark-catesby,
1218,Vicomte Ludovic Napoléon Lepic,515b2ae605635113a5001815,no-info,no-info,no-info,no-info,no-info,no-info,Vicomte Ludovic Napoléon Lepic,vicomte-ludovic-napoleon-lepic,
1219,Henri Rousseau,4d8b929f4eb68a1b2c000302,male,1844,1910,"Laval, France","Paris, France",French,Rousseau Henri,henri-rousseau,
1220,Jean-Baptiste Perronneau,515cbf04b5907b33b100002d,male,1715,1783,no-info,no-info,no-info,Perronneau Jean-Baptiste,jean-baptiste-perronneau,
1221,Etienne-Louis Boullée,515b0af438ad2d78ca0002ca,no-info,no-info,no-info,no-info,no-info,no-info,Boullée Etienne-Louis,etienne-louis-boullee,
1222,T'oros Roslin,503d0b995ccfe30002000b29,male,1210,1270,,,Armenian,T'oros Roslin,toros-roslin,
